DATE	TIME	VALUE	PRECISION	REMARK	FLAGS	TYPE	QA
8D	6S	16N	1S	1S	32S	1S	1S
20020904		0.00	2	 		C	A
20020905		0.00	2	 		C	A
20020906		0.00	2	 		C	A
20020907		0.00	2	 		C	A
20020908		0.00	2	 		C	A
20020909		0.00	2	 		C	A
20020910		0.00	2	 		C	A
20020911		0.00	2	 		C	A
20020912		0.00	2	 		C	A
20020913		0.00	2	 		C	A
20020914		0.00	2	 		C	A
20020915		0.00	2	 		C	A
20020916		0.00	2	 		C	A
20020917		0.00	2	 		C	A
20020918		0.18	2	 		C	A
20020919		0.16	2	 		C	A
20020920		0.40	2	 		C	A
20020921		0.00	2	 		C	A
20020922		0.23	2	 		C	A
20020923		0.00	2	 		C	A
20020924		0.00	2	 		C	A
20020925		0.00	2	 		C	A
20020926		0.00	2	 		C	A
20020927		0.00	2	 		C	A
20020928		0.00	2	 		C	A
20020929		0.07	2	 		C	A
20020930		0.00	2	 		C	A
20021001		0.00	2	 		C	A
20021002		0.34	2	 		C	A
20021003		0.00	2	 		C	A
20021004		0.64	2	 		C	A
20021005		0.00	2	 		C	A
20021006		0.00	2	 		C	A
20021007		0.00	2	 		C	A
20021008		0.00	2	 		C	A
20021009		0.00	2	 		C	A
20021010		0.00	2	 		C	A
20021011		0.00	2	 		C	A
20021012		0.07	2	 		C	A
20021013		0.00	2	 		C	A
20021014		0.00	2	 		C	A
20021015		0.00	2	 		C	A
20021016		0.00	2	 		C	A
20021017		0.11	2	 		C	A
20021018		0.01	2	 		C	A
20021019		0.00	2	 		C	A
20021020		0.00	2	 		C	A
20021021		0.00	2	 		C	A
20021022		0.00	2	 		C	A
20021023		0.00	2	 		C	A
20021024		0.08	2	 		C	A
20021025		0.26	2	 		C	A
20021026		0.00	2	 		C	A
20021027		0.00	2	 		C	A
20021028		0.01	2	 		C	A
20021029		0.00	2	 		C	A
20021030		0.00	2	 		C	A
20021031		0.00	2	 		C	A
20021101		0.00	2	 		C	A
20021102		0.00	2	 		C	A
20021103		0.00	2	 		C	A
20021104		0.00	2	 		C	A
20021105		0.13	2	 		C	A
20021106		0.00	2	 		C	A
20021107		0.00	2	 		C	A
20021108		0.00	2	 		C	A
20021109		0.07	2	 		C	A
20021110		0.00	2	 		C	A
20021111		0.02	2	 		C	A
20021112		0.00	2	 		C	A
20021113		0.00	2	 		C	A
20021114		0.17	2	 		C	A
20021115		0.00	2	 		C	A
20021116		0.00	2	 		C	A
20021117		0.04	2	 		C	A
20021118		0.16	2	 		C	A
20021119		0.00	2	 		C	A
20021120		0.00	2	 		C	A
20021121		0.17	2	 		C	A
20021122		0.00	2	 		C	A
20021123		0.00	2	 		C	A
20021124		0.00	2	 		C	A
20021125		0.03	2	 		C	A
20021126		0.00	2	 		C	A
20021127		0.06	2	 		C	A
20021128		0.01	2	 		C	A
20021129		0.01	2	 		C	A
20021130		0.00	2	 		C	A
20021201		0.00	2	 		C	A
20021202		0.00	2	 		C	A
20021203		0.00	2	 		C	A
20021204		0.00	2	 		C	A
20021205		0.00	2	 		C	A
20021206		0.00	2	 		C	A
20021207		0.05	2	 		C	A
20021208		0.00	2	 		C	A
20021209		0.00	2	 		C	A
20021210		0.00	2	 		C	A
20021211		0.00	2	 		C	A
20021212		0.00	2	 		C	A
20021213		0.00	2	 		C	A
20021214		0.00	2	 		C	A
20021215		0.00	2	 		C	A
20021216		0.00	2	 		C	A
20021217		0.04	2	 		C	A
20021218		0.95	2	 		C	A
20021219		0.00	2	 		C	A
20021220		0.00	2	 		C	A
20021221		0.00	2	 		C	A
20021222		0.00	2	 		C	A
20021223		0.00	2	 		C	A
20021224		0.00	2	 		C	A
20021225		0.00	2	 		C	A
20021226		0.01	2	e		E	A
20021227		0.05	2	 		C	A
20021228		0.00	2	 		C	A
20021229		0.00	2	 		C	A
20021230		0.01	2	 		C	A
20021231		0.00	2	 		C	A
20030101		0.00	2	 		C	A
20030102		0.00	2	 		C	A
20030103		0.02	2	e		E	A
20030104		0.00	2	 		C	A
20030105		0.07	2	e		E	A
20030106		0.00	2	 		C	A
20030107		0.00	2	 		C	A
20030108		0.00	2	 		C	A
20030109		0.00	2	 		C	A
20030110		0.00	2	 		C	A
20030111		0.00	2	 		C	A
20030112		0.00	2	 		C	A
20030113		0.00	2	 		C	A
20030114		0.00	2	 		C	A
20030115		0.00	2	 		C	A
20030116		0.00	2	 		C	A
20030117		0.00	2	 		C	A
20030118		0.00	2	 		C	A
20030119		0.00	2	 		C	A
20030120		0.00	2	 		C	A
20030121		0.00	2	 		C	A
20030122		0.00	2	 		C	A
20030123		0.00	2	 		C	A
20030124		0.00	2	 		C	A
20030125		0.00	2	 		C	A
20030126		0.00	2	 		C	A
20030127		0.00	2	 		C	A
20030128		0.00	2	 		C	A
