#### USGS	05530990	SALT CREEK AT ROLLING MEADOWS, IL
Agency	Gage_ID	Date	Precip_inches	Data_flag
USGS	05530990	2010-01-04	0.00	A:e
USGS	05530990	2010-01-05	0.00	A:e
USGS	05530990	2010-01-06	0.00	A:e
USGS	05530990	2010-01-07	0.00	A:e
USGS	05530990	2010-01-08	0.00	A:e
USGS	05530990	2010-01-09	0.00	A:e
USGS	05530990	2010-01-10	0.00	A:e
USGS	05530990	2010-01-11	0.00	A:e
USGS	05530990	2010-01-12	0.08	A:e
USGS	05530990	2010-01-13	0.01	A
USGS	05530990	2010-01-14	0.00	A
USGS	05530990	2010-01-15	0.00	A:e
USGS	05530990	2010-01-16	0.00	A
USGS	05530990	2010-01-17	0.00	A:e
USGS	05530990	2010-01-18	0.00	A:e
USGS	05530990	2010-01-19	0.00	A
USGS	05530990	2010-01-20	0.00	A:e
USGS	05530990	2010-01-21	0.02	A
USGS	05530990	2010-01-22	0.00	A
USGS	05530990	2010-01-23	0.00	A
USGS	05530990	2010-01-24	0.49	A:e
USGS	05530990	2010-01-25	0.00	A:e
USGS	05530990	2010-01-26	0.00	A:e
USGS	05530990	2010-01-27	0.00	A:e
USGS	05530990	2010-01-28	0.00	A
USGS	05530990	2010-01-29	0.00	A:e
USGS	05530990	2010-01-30	0.00	A:e
USGS	05530990	2010-01-31	0.00	A
USGS	05530990	2010-02-01	0.00	A:e
USGS	05530990	2010-02-02	0.08	A:e
USGS	05530990	2010-02-03	0.00	A
USGS	05530990	2010-02-04	0.00	A
USGS	05530990	2010-02-05	0.01	A:e
USGS	05530990	2010-02-06	0.00	A:e
USGS	05530990	2010-02-07	0.00	A:e
USGS	05530990	2010-02-08	0.00	A:e
USGS	05530990	2010-02-09	0.00	A:e
USGS	05530990	2010-02-10	0.00	A:e
USGS	05530990	2010-02-11	0.07	A:e
USGS	05530990	2010-02-12	0.06	A:e
USGS	05530990	2010-02-13	0.00	A
USGS	05530990	2010-02-14	0.00	A
USGS	05530990	2010-02-15	0.00	A:e
USGS	05530990	2010-02-16	0.01	A:e
USGS	05530990	2010-02-17	0.00	A
USGS	05530990	2010-02-18	0.00	A
USGS	05530990	2010-02-19	0.00	A
USGS	05530990	2010-02-20	0.00	A:e
USGS	05530990	2010-02-21	0.00	A:e
USGS	05530990	2010-02-22	0.07	A:e
USGS	05530990	2010-02-23	0.21	A:e
USGS	05530990	2010-02-24	0.01	A:e
USGS	05530990	2010-02-25	0.11	A:e
USGS	05530990	2010-02-26	0.00	A:e
USGS	05530990	2010-02-27	0.00	A:e
USGS	05530990	2010-02-28	0.00	A:e
USGS	05530990	2010-03-01	0.00	A
USGS	05530990	2010-03-02	0.00	A
USGS	05530990	2010-03-03	0.00	A
USGS	05530990	2010-03-04	0.00	A
USGS	05530990	2010-03-05	0.00	A
USGS	05530990	2010-03-06	0.00	A
USGS	05530990	2010-03-07	0.03	A
USGS	05530990	2010-03-08	0.00	A
USGS	05530990	2010-03-09	0.00	A
USGS	05530990	2010-03-10	0.10	A
USGS	05530990	2010-03-11	0.47	A
