#### USGS	414411087575000	MARIENBROOK WWTF AT DARIEN, IL
Agency	Gage_ID	Date	Precip_inches	Data_flag
USGS	414411087575000	2002-10-19	0.00	A
USGS	414411087575000	2002-10-20	0.00	A
USGS	414411087575000	2002-10-21	0.00	A
USGS	414411087575000	2002-10-22	0.00	A
USGS	414411087575000	2002-10-23	0.00	A
USGS	414411087575000	2002-10-24	0.02	A
USGS	414411087575000	2002-10-25	0.25	A
USGS	414411087575000	2002-10-26	0.00	A
USGS	414411087575000	2002-10-27	0.00	A
USGS	414411087575000	2002-10-28	0.00	A
USGS	414411087575000	2002-10-29	0.02	A
USGS	414411087575000	2002-10-30	0.00	A
USGS	414411087575000	2002-10-31	0.00	A
USGS	414411087575000	2002-11-01	0.00	A
USGS	414411087575000	2002-11-02	0.00	A
USGS	414411087575000	2002-11-03	0.00	A
USGS	414411087575000	2002-11-04	0.00	A
USGS	414411087575000	2002-11-05	0.13	A
USGS	414411087575000	2002-11-06	0.00	A
USGS	414411087575000	2002-11-07	0.00	A
USGS	414411087575000	2002-11-08	0.00	A
USGS	414411087575000	2002-11-09	0.07	A
USGS	414411087575000	2002-11-10	0.00	A
USGS	414411087575000	2002-11-11	0.00	A
USGS	414411087575000	2002-11-12	0.00	A
USGS	414411087575000	2002-11-13	0.00	A
USGS	414411087575000	2002-11-14	0.25	A
USGS	414411087575000	2002-11-15	0.00	A
USGS	414411087575000	2002-11-16	0.00	A
USGS	414411087575000	2002-11-17	0.03	A
USGS	414411087575000	2002-11-18	0.10	A
USGS	414411087575000	2002-11-19	0.01	A
USGS	414411087575000	2002-11-20	0.00	A
USGS	414411087575000	2002-11-21	0.23	A
USGS	414411087575000	2002-11-22	0.00	A
USGS	414411087575000	2002-11-23	0.00	A
USGS	414411087575000	2002-11-24	0.00	A
USGS	414411087575000	2002-11-25	0.02	A
USGS	414411087575000	2002-11-26	0.00	A
USGS	414411087575000	2002-11-27	0.11	A
USGS	414411087575000	2002-11-28	0.00	A
USGS	414411087575000	2002-11-29	0.02	A
USGS	414411087575000	2002-11-30	0.00	A
USGS	414411087575000	2002-12-01	0.00	A
USGS	414411087575000	2002-12-02	0.00	A
USGS	414411087575000	2002-12-03	0.03	A:e
USGS	414411087575000	2002-12-04	0.00	A
USGS	414411087575000	2002-12-05	0.00	A
USGS	414411087575000	2002-12-06	0.00	A
USGS	414411087575000	2002-12-07	0.00	A
USGS	414411087575000	2002-12-08	0.00	A
USGS	414411087575000	2002-12-09	0.00	A
USGS	414411087575000	2002-12-10	0.00	A
USGS	414411087575000	2002-12-11	0.00	A
USGS	414411087575000	2002-12-12	0.00	A
USGS	414411087575000	2002-12-13	0.00	A
USGS	414411087575000	2002-12-14	0.00	A
USGS	414411087575000	2002-12-15	0.00	A
USGS	414411087575000	2002-12-16	0.00	A
USGS	414411087575000	2002-12-17	0.04	A
USGS	414411087575000	2002-12-18	0.99	A
USGS	414411087575000	2002-12-19	0.00	A
USGS	414411087575000	2002-12-20	0.00	A
USGS	414411087575000	2002-12-21	0.00	A
USGS	414411087575000	2002-12-22	0.00	A
USGS	414411087575000	2002-12-23	0.00	A
USGS	414411087575000	2002-12-24	0.00	A
USGS	414411087575000	2002-12-25	0.01	A:e
USGS	414411087575000	2002-12-26	0.01	A:e
USGS	414411087575000	2002-12-27	0.03	A:e
USGS	414411087575000	2002-12-28	0.00	A
USGS	414411087575000	2002-12-29	0.00	A
USGS	414411087575000	2002-12-30	0.00	A
USGS	414411087575000	2002-12-31	0.00	A
USGS	414411087575000	2003-01-01	0.00	A
USGS	414411087575000	2003-01-02	0.00	A
USGS	414411087575000	2003-01-03	0.00	A
USGS	414411087575000	2003-01-04	0.00	A
USGS	414411087575000	2003-01-05	0.04	A:e
USGS	414411087575000	2003-01-06	0.00	A
USGS	414411087575000	2003-01-07	0.00	A
USGS	414411087575000	2003-01-08	0.00	A
USGS	414411087575000	2003-01-09	0.00	A
USGS	414411087575000	2003-01-10	0.00	A
USGS	414411087575000	2003-01-11	0.00	A
USGS	414411087575000	2003-01-12	0.00	A
USGS	414411087575000	2003-01-13	0.00	A
USGS	414411087575000	2003-01-14	0.00	A
USGS	414411087575000	2003-01-15	0.00	A
USGS	414411087575000	2003-01-16	0.00	A
USGS	414411087575000	2003-01-17	0.00	A
USGS	414411087575000	2003-01-18	0.00	A
USGS	414411087575000	2003-01-19	0.00	A
USGS	414411087575000	2003-01-20	0.00	A
USGS	414411087575000	2003-01-21	0.00	A
USGS	414411087575000	2003-01-22	0.00	A
USGS	414411087575000	2003-01-23	0.00	A
USGS	414411087575000	2003-01-24	0.00	A
USGS	414411087575000	2003-01-25	0.00	A
USGS	414411087575000	2003-01-26	0.00	A
USGS	414411087575000	2003-01-27	0.00	A
USGS	414411087575000	2003-01-28	0.00	A
USGS	414411087575000	2003-01-29	0.00	A
USGS	414411087575000	2003-01-30	0.00	A
USGS	414411087575000	2003-01-31	0.07	A
USGS	414411087575000	2003-02-01	0.00	A
USGS	414411087575000	2003-02-02	0.00	A
USGS	414411087575000	2003-02-03	0.03	A
USGS	414411087575000	2003-02-04	0.00	A
USGS	414411087575000	2003-02-05	0.00	A
USGS	414411087575000	2003-02-06	0.00	A
USGS	414411087575000	2003-02-07	0.00	A
USGS	414411087575000	2003-02-08	0.00	A
USGS	414411087575000	2003-02-09	0.00	A
USGS	414411087575000	2003-02-10	0.00	A
USGS	414411087575000	2003-02-11	0.00	A
USGS	414411087575000	2003-02-12	0.00	A
USGS	414411087575000	2003-02-13	0.00	A
USGS	414411087575000	2003-02-14	0.00	A
USGS	414411087575000	2003-02-15	0.00	A
USGS	414411087575000	2003-02-16	0.00	A
USGS	414411087575000	2003-02-17	0.00	A
USGS	414411087575000	2003-02-18	0.00	A
USGS	414411087575000	2003-02-19	0.00	A
USGS	414411087575000	2003-02-20	0.00	A
USGS	414411087575000	2003-02-21	0.00	A
USGS	414411087575000	2003-02-22	0.00	A
USGS	414411087575000	2003-02-23	0.00	A
USGS	414411087575000	2003-02-24	0.00	A
USGS	414411087575000	2003-02-25	0.00	A
USGS	414411087575000	2003-02-26	0.00	A
USGS	414411087575000	2003-02-27	0.00	A
USGS	414411087575000	2003-02-28	0.00	A
USGS	414411087575000	2003-03-01	0.00	A
USGS	414411087575000	2003-03-02	0.00	A
USGS	414411087575000	2003-03-03	0.00	A
USGS	414411087575000	2003-03-04	0.00	A
USGS	414411087575000	2003-03-05	0.01	A:e
USGS	414411087575000	2003-03-06	0.08	A:e
USGS	414411087575000	2003-03-07	0.00	A
USGS	414411087575000	2003-03-08	0.08	A
USGS	414411087575000	2003-03-09	0.00	A
USGS	414411087575000	2003-03-10	0.00	A
USGS	414411087575000	2003-03-11	0.00	A
USGS	414411087575000	2003-03-12	0.00	A
USGS	414411087575000	2003-03-13	0.02	A:e
USGS	414411087575000	2003-03-14	0.00	A
USGS	414411087575000	2003-03-15	0.00	A
USGS	414411087575000	2003-03-16	0.00	A
USGS	414411087575000	2003-03-17	0.00	A
USGS	414411087575000	2003-03-18	0.00	A
USGS	414411087575000	2003-03-19	0.17	A
USGS	414411087575000	2003-03-20	0.05	A
USGS	414411087575000	2003-03-21	0.00	A
USGS	414411087575000	2003-03-22	0.00	A
USGS	414411087575000	2003-03-23	0.00	A
USGS	414411087575000	2003-03-24	0.01	A
USGS	414411087575000	2003-03-25	0.05	A
USGS	414411087575000	2003-03-26	0.00	A
USGS	414411087575000	2003-03-27	0.00	A
USGS	414411087575000	2003-03-28	0.34	A
USGS	414411087575000	2003-03-29	0.00	A
USGS	414411087575000	2003-03-30	0.00	A
USGS	414411087575000	2003-03-31	0.03	A
USGS	414411087575000	2003-04-01	0.00	A
USGS	414411087575000	2003-04-02	0.00	A
USGS	414411087575000	2003-04-03	0.13	A
USGS	414411087575000	2003-04-04	1.07	A
USGS	414411087575000	2003-04-05	0.00	A
USGS	414411087575000	2003-04-06	0.00	A
USGS	414411087575000	2003-04-07	0.07	A
USGS	414411087575000	2003-04-08	0.00	A
USGS	414411087575000	2003-04-09	0.00	A
USGS	414411087575000	2003-04-10	0.00	A
USGS	414411087575000	2003-04-11	0.00	A
USGS	414411087575000	2003-04-12	0.00	A
USGS	414411087575000	2003-04-13	0.00	A
USGS	414411087575000	2003-04-14	0.00	A
USGS	414411087575000	2003-04-15	0.00	A
USGS	414411087575000	2003-04-16	0.00	A
USGS	414411087575000	2003-04-17	0.01	A
USGS	414411087575000	2003-04-18	0.00	A
USGS	414411087575000	2003-04-19	0.01	A
USGS	414411087575000	2003-04-20	0.07	A
USGS	414411087575000	2003-04-21	0.00	A
USGS	414411087575000	2003-04-22	0.00	A
USGS	414411087575000	2003-04-23	0.00	A
USGS	414411087575000	2003-04-24	0.00	A
USGS	414411087575000	2003-04-25	0.00	A
USGS	414411087575000	2003-04-26	0.00	A
USGS	414411087575000	2003-04-27	0.00	A
USGS	414411087575000	2003-04-28	0.00	A
USGS	414411087575000	2003-04-29	0.01	A
USGS	414411087575000	2003-04-30	1.22	A
USGS	414411087575000	2003-05-01	0.78	A
USGS	414411087575000	2003-05-02	0.00	A
USGS	414411087575000	2003-05-03	0.00	A
USGS	414411087575000	2003-05-04	0.89	A
USGS	414411087575000	2003-05-05	0.01	A
USGS	414411087575000	2003-05-06	0.00	A
